"","year","month","summit","PE","temp","precip","D","spei_3","spei_12","date","region"
"12965","2022","02","LIN",-145.441599190235,9.1829762050084,283.655276955148,138.213677764913,1.12308324854617,-0.432515858343144,2022-02-01,"NAH"
"12966","2022","02","MIN",-139.873169362545,9.92048434302922,193.829453052064,53.9562836895193,0.615695004514087,-0.645265293689297,2022-02-01,"SAC"
"12967","2022","02","QNS",-132.051020860672,8.95731470017211,285.17468875744,153.123667896768,0.706949234824322,-0.763926936681831,2022-02-01,"HQM"
"12968","2022","02","QSS",-132.051020860672,8.95731470017211,285.17468875744,153.123667896768,0.706949234824322,-0.763926936681831,2022-02-01,"HQM"
"12969","2022","02","SEN",-160.309724509716,8.24350854782836,177.436894238969,17.1271697292532,0.845207919432201,-0.563008528576134,2022-02-01,"DAS"
"12970","2022","02","SMN",-145.441599190235,9.1829762050084,283.655276955148,138.213677764913,1.12308324854617,-0.432515858343144,2022-02-01,"HQM"
"12971","2022","02","SMZ",-106.747806072235,8.30810699462893,237.329474152109,130.581668079873,0.714268493426954,-0.255142251496726,2022-02-01,"NAH"
"12972","2022","02","SUN",-128.164872527122,7.83799096970336,204.411438168069,76.2465656409468,0.80697757489751,-0.370757286264086,2022-02-01,"DAS"
"12973","2022","02","TSW",-124.334767460823,6.9306568690709,207.723623574754,83.3888561139311,0.863687937187311,-0.965850247779195,2022-02-01,"SYU"
"12974","2022","02","YAT",-128.164872527122,7.83799096970336,204.411438168069,76.2465656409468,0.80697757489751,-0.370757286264086,2022-02-01,"DAS"
"12975","2022","02","ZNF",-106.747806072235,8.30810699462893,237.329474152109,130.581668079873,0.714268493426954,-0.255142251496726,2022-02-01,"NAH"
"12976","2022","03","DSH",-234.55186188221,12.3552126607588,151.721010996578,-82.8308508856317,0.826887148579002,-0.780350148181717,2022-03-01,"SYU"
"12977","2022","03","HUU",-221.073001623154,13.2104766476539,176.026458932636,-45.0465426905176,0.604238637958506,-0.453886748149953,2022-03-01,"SAC"
"12978","2022","03","JIA",-221.073001623154,13.2104766476539,176.026458932636,-45.0465426905176,0.604238637958506,-0.453886748149953,2022-03-01,"SAC"
"12979","2022","03","JNJ",-267.044775187969,11.6310863166727,188.365246249912,-78.6795289380571,0.87160714086637,-0.567831494681874,2022-03-01,"SYU"
"12980","2022","03","LIN",-262.099072337151,12.8326335906983,213.319758965252,-48.7793133718988,1.01429939394655,-0.149080816724049,2022-03-01,"NAH"
"12981","2022","03","MIN",-221.073001623154,13.2104766476539,176.026458932636,-45.0465426905176,0.604238637958506,-0.453886748149953,2022-03-01,"SAC"
"12982","2022","03","QNS",-236.681431531906,12.5479682471163,202.044378115414,-34.6370534164926,0.664043658305601,-0.520716626020201,2022-03-01,"HQM"
"12983","2022","03","QSS",-236.681431531906,12.5479682471163,202.044378115414,-34.6370534164926,0.664043658305601,-0.520716626020201,2022-03-01,"HQM"
"12984","2022","03","SEN",-249.92410838604,11.5218478254093,157.535578204868,-92.3885301811715,0.926757961756304,-0.353713897214875,2022-03-01,"DAS"
